metric,discounted_price_value,actual_price_value,discount_rate,rating_value,rating_count_value,business_priority_score
discounted_price_value,1.0,0.961915279988014,-0.24241202207682216,0.12033741712288648,-0.02700995202999664,0.07192985919960808
actual_price_value,0.961915279988014,1.0,-0.11809753487735868,0.12164167545801852,-0.0358896066837157,0.12615286903135137
discount_rate,-0.24241202207682216,-0.11809753487735868,1.0,-0.15537543972692883,0.010868345105146013,0.32159973728933267
rating_value,0.12033741712288648,0.12164167545801852,-0.15537543972692883,1.0,0.10158354566077832,0.28861747210493016
rating_count_value,-0.02700995202999664,-0.0358896066837157,0.010868345105146013,0.10158354566077832,1.0,0.5176717299052773
business_priority_score,0.07192985919960808,0.12615286903135137,0.32159973728933267,0.28861747210493016,0.5176717299052773,1.0
