primary_category,products,avg_rating,avg_discount,median_price,review_proxy,priority_score,management_action
MusicalInstruments,2,3.9,0.45999999999999996,638.0,88882.0,0.455297120916758,Investigate customer dissatisfaction before expanding spend.
Electronics,490,4.081749049429658,0.5082889733840305,1399.0,15778848.0,0.4380684951623672,Maintain monitoring and test selective campaigns.
Computers&Accessories,375,4.154966887417219,0.540242825607064,349.0,7728689.0,0.4109728856162186,Maintain monitoring and test selective campaigns.
HomeImprovement,2,4.25,0.575,337.0,8566.0,0.40829942432943434,Audit margin impact from aggressive discounting.
Health&PersonalCare,1,4.0,0.53,899.0,3663.0,0.3860038908286477,Maintain monitoring and test selective campaigns.
Toys&Games,1,4.3,0.0,150.0,15867.0,0.3705982125681712,Maintain monitoring and test selective campaigns.
Home&Kitchen,448,4.040715883668904,0.40120535714285716,1199.0,2991069.0,0.34790958422174345,Maintain monitoring and test selective campaigns.
OfficeProducts,31,4.309677419354839,0.1235483870967742,178.0,149675.0,0.3381071909228114,Scale promotions and protect availability.
Car&Motorbike,1,3.8,0.42,2339.0,1118.0,0.3194648904709252,Investigate customer dissatisfaction before expanding spend.
